,Name,Category,Bio,Aliases,Flights,Documents,Connections,In Black Book,Nationality
252,Joan Rivers,celebrity,Comedian listed in Epstein's black book; deceased,['Joan Alexandra Molinsky'],0,0,0,True,American
253,Bob Colacello,other,Journalist and author listed in Epstein's black book,['Robert Colacello'],0,0,0,True,American
254,William Astor,socialite,British peer listed in Epstein's black book,['4th Viscount Astor'],0,0,0,True,British
255,David Manners,socialite,British aristocrat listed in Epstein's black book,['11th Duke of Rutland'],0,0,0,True,British
256,Robert Gascoyne-Cecil,politician,British politician listed in Epstein's black book,"['Viscount Cranborne', '7th Marquess of Salisbury']",0,0,0,True,British
257,Graydon Carter,other,Former Vanity Fair editor listed in Epstein's black book,[],0,0,0,True,Canadian-American
258,David Remnick,other,New Yorker editor listed in Epstein's black book,[],0,0,0,True,American
259,William Styron,other,Novelist listed in Epstein's black book; deceased,[],0,0,0,True,American
260,Ghislaine Nogueras,socialite,Social contact listed in Epstein's black book,[],0,0,0,True,American
261,Mandy Ellison,associate,Personal assistant listed in Epstein's black book,[],0,0,0,True,American
262,Mark Getty,business,Co-founder of Getty Images listed in Epstein's black book,['Sir Mark Getty'],0,0,0,True,British-American
263,Alberto Pinto,other,Interior designer listed in Epstein's black book; deceased,[],0,0,0,True,French
264,Stavros Niarchos IV,socialite,Shipping heir listed in Epstein's black book,[],0,0,0,True,Greek
265,Gianni Agnelli,business,Head of Fiat listed in Epstein's black book; deceased,['Giovanni Agnelli'],0,0,0,True,Italian
266,Nat Rothschild,business,British financier listed in Epstein's black book,['Nathaniel Philip Rothschild'],0,0,0,True,British
267,Jessica de Rothschild,socialite,Actress listed in Epstein's black book,[],0,0,0,True,British
268,Vittorio Assaf,business,Restaurateur listed in Epstein's black book,[],0,0,0,True,Italian-American
269,Mary Erdoes,business,JPMorgan executive referenced in USVI lawsuit,[],0,0,0,False,American
270,Jamie Dimon,business,JPMorgan CEO deposed in Epstein-related lawsuit,['James Dimon'],0,0,0,False,American
271,John Duffy,business,Former JPMorgan banker named in Epstein lawsuits,[],0,0,0,False,American
272,Rosemary Vrablic,business,Deutsche Bank private banker who managed Epstein account,[],0,0,0,False,American
273,Paul Morris,legal,Palm Beach detective on original Epstein case,[],0,0,0,False,American
274,Marie Villafana,legal,Lead federal prosecutor in original Epstein plea deal,['A. Marie Villafana'],0,2,0,False,American
275,Jay Lefkowitz,legal,Epstein defense attorney during plea negotiations,[],0,1,0,False,American
276,Guy Lewis,legal,Former U.S. Attorney during early Epstein investigation,[],0,0,0,False,American
277,Alison Nathan,legal,Federal judge who presided over Maxwell trial; sentenced her to 20 years,[],0,0,0,False,American
278,Richard Berman,legal,Judge who denied Epstein's bail in 2019 federal case,[],0,2,0,False,American
279,Loretta Preska,legal,Judge who ordered unsealing of Epstein-related documents,[],0,1,0,False,American
280,Kenneth Marra,legal,Judge who ruled prosecutors violated victims' rights in plea deal,[],0,1,0,False,American
281,Denise George,legal,Former USVI AG who sued JPMorgan over Epstein ties; fired after filing,[],0,0,0,False,American
282,Mark Bostick,associate,Construction executive listed in Epstein's black book,[],0,0,0,True,American
283,Andrea Mitrovich,associate,Personal contact listed in Epstein's black book,[],0,0,0,True,American
284,Sean Koo,business,Financial professional listed in Epstein's black book,[],0,0,0,True,American
285,Robert Meister,business,Insurance executive listed in Epstein's black book,[],0,0,0,True,American
286,Sheldon Adelson,business,Casino magnate listed in Epstein's black book; deceased,[],0,0,0,True,American
287,Steven Mnuchin,politician,Former Treasury Secretary listed in Epstein's black book,[],0,0,0,True,American
288,Jeffrey Sachs,academic,Columbia economist who received Epstein funding,[],0,0,0,False,American
289,Robert Thurman,academic,Columbia professor listed in Epstein's black book,[],0,0,0,True,American
290,Steven Pinker,academic,Harvard psychologist who had limited Epstein interactions,[],0,0,0,False,Canadian-American
291,L. Rafael Reif,academic,Former MIT president during Epstein donation scandal,[],0,0,0,False,Venezuelan-American
292,Drew Faust,academic,Former Harvard president during period of Epstein donations,['Drew Gilpin Faust'],0,0,0,False,American
293,Janusz Banasiak,associate,Epstein's chauffeur at Palm Beach estate,[],0,1,0,True,Polish-American
294,Tony Figueroa,associate,Named in Palm Beach Police reports as bringing girls to Epstein,[],0,1,0,False,American
295,Timothy Donovan,legal,School district counsel who aided Epstein investigation,[],0,0,0,False,American
296,Cecile de Jongh,associate,Former USVI governor's wife who worked for Epstein,[],0,0,0,False,American
297,John de Jongh,politician,Former USVI Governor; wife worked for Epstein,[],0,0,0,False,American
298,Kevin Thompson,associate,IT consultant who worked for Epstein,[],0,0,0,True,American
299,Rinaldo Rizzo,other,Former Dubin butler; Maxwell trial witness,[],0,1,0,False,American
300,Miles Taylor,associate,Contact listed in Epstein's black book,[],0,0,0,True,American
301,Teresa Helm,other,Epstein survivor who spoke publicly about abuse in New Mexico,[],0,0,0,False,American
302,Jennifer Araoz,other,Epstein accuser who was recruited as a high school student,[],0,0,0,False,American
303,Carolyn Andriano,other,Key witness at Maxwell trial; abused from age 14,['Minor Victim 4 (Maxwell Trial)'],0,1,0,False,American
304,Johanna Sjoberg,other,Epstein accuser who provided deposition about New York mansion,[],0,1,0,False,American
305,Michelle Licata,other,Early Epstein accuser who cooperated with Palm Beach investigation,[],0,0,0,False,American
306,Alicia Arden,other,Filed early police report against Epstein in 1997,[],0,0,0,False,American
307,Glen Ritchie,associate,Contact listed in Epstein's black book,[],0,0,0,True,British
308,Jean-Jacques Galtier,other,French dentist listed in Epstein's black book,[],0,0,0,True,French
309,Eric Fischl,other,Painter listed in Epstein's black book,[],0,0,0,True,American
310,Pat Benatar,celebrity,Rock musician listed in Epstein's black book,['Patricia Mae Andrzejewski'],0,0,0,True,American
311,Ralph Nader,other,Consumer advocate listed in Epstein's black book,[],0,0,0,True,American
312,Greg Norman,celebrity,Professional golfer listed in Epstein's black book,['Gregory John Norman'],0,0,0,True,Australian
313,Henry Rosovsky,academic,Former Harvard dean on Epstein Foundation advisory board,[],0,0,0,False,American
314,Alan Stone,academic,Harvard Law professor on Epstein Foundation advisory board,[],0,0,0,False,American
315,Adriel Bettelheim,other,Journalist listed in Epstein's black book,[],0,0,0,True,American
316,Kellyanne Conway,politician,Political consultant listed in Epstein's black book,['Kellyanne Elizabeth Fitzpatrick'],0,0,0,True,American
317,Doug Hammond,associate,Appeared in Epstein's flight logs,[],0,0,0,False,American
318,Mark Lloyd,associate,Listed in Epstein's black book and flight logs,[],0,0,0,True,American
319,Shelley Harrison,socialite,Social contact listed in Epstein's black book,[],0,0,0,True,American
320,Peter Dubinin,associate,Contact listed in Epstein's black book,[],0,0,0,True,American
321,Alberto Vilar,business,Investor listed in Epstein's black book,[],0,0,0,True,Cuban-American
322,David Yarovesky,associate,Appeared in Epstein's flight logs,[],0,0,0,False,American
323,Gary Roxburgh,associate,Contact listed in Epstein's black book,[],0,0,0,True,American
324,Hyatt Bass,socialite,Socialite listed in Epstein's black book,[],0,0,0,True,American
325,Robert Bass,business,Billionaire investor listed in Epstein's black book,['Robert Muse Bass'],0,0,0,True,American
326,Mort Janklow,other,Literary agent listed in Epstein's black book,['Morton Lloyd Janklow'],0,0,0,True,American
327,Conrad Hilton,business,Hotel heir listed in Epstein's black book,['Barron Hilton'],0,0,0,True,American
328,Wilbur Ross,business,Former Commerce Secretary listed in Epstein's black book,['Wilbur Louis Ross Jr.'],0,0,0,True,American
329,John Catsimatidis,business,Billionaire businessman listed in Epstein's black book,[],0,0,0,True,American
330,Ron Burkle,business,Billionaire investor listed in Epstein's black book and flight logs,['Ronald Wayne Burkle'],0,0,0,True,American
331,Nacho Figueras,celebrity,Polo player listed in Epstein's black book,['Ignacio Figueras'],0,0,0,True,Argentine
332,Jeffrey Jones,business,Business contact listed in Epstein's black book,[],0,0,0,True,American
333,Paul Harris,associate,Contact listed in Epstein's black book,[],0,0,0,True,British
334,Thierry Despont,other,Architect who worked on Epstein properties,[],0,0,0,True,French-American
335,Baron Jean de Gunzburg,socialite,French aristocrat listed in Epstein's black book,[],0,0,0,True,French
336,Jean Pierre Bourgeois,other,French contact listed in Epstein's black book,[],0,0,0,True,French
337,Giuseppe Cipriani,business,Restaurateur listed in Epstein's black book,[],0,0,0,True,Italian
338,Alix de Ligne,socialite,Belgian princess listed in Epstein's black book,['Princess Alix de Ligne'],0,0,0,True,Belgian
339,Francois Levy,business,Business contact listed in Epstein's black book,[],0,0,0,True,French
340,James Goldston,other,Journalist listed in Epstein's black book,[],0,0,0,True,British
341,Ellen Spencer,socialite,Social contact listed in Epstein's black book,[],0,0,0,True,American
342,Ehud Olmert,politician,Former Israeli Prime Minister listed in Epstein's black book,[],0,0,0,True,Israeli
343,Wendi Deng Murdoch,socialite,Businesswoman listed in Epstein's black book,['Wendi Deng'],0,0,0,True,Chinese-American
344,Michael Genovese,legal,Attorney listed in Epstein's black book,[],0,0,0,True,American
345,Tom Ford,business,Fashion designer listed in Epstein's black book,['Thomas Carlyle Ford'],0,0,0,True,American
346,Michael Cherry,associate,Contact listed in Epstein's black book,[],0,0,0,True,American
347,Ian Maxwell,socialite,Ghislaine Maxwell's brother; public defender of her case,[],0,0,0,True,British
348,Bob Denham,legal,Attorney listed in Epstein's black book,['Robert Denham'],0,0,0,True,American
349,Michael Wolff,other,Journalist and author listed in Epstein's black book,[],0,1,0,True,American
350,Charles Gasparino,other,Financial journalist listed in Epstein's black book,['Charlie Gasparino'],0,0,0,True,American
351,Riccardo Mazzucchelli,socialite,Italian businessman listed in Epstein's black book,[],0,0,0,True,Italian
352,Ivana Trump,socialite,Businesswoman listed in Epstein's black book; deceased,['Ivana Marie Zelnickova'],0,0,0,True,Czech-American
353,Blaine Trump,socialite,Socialite listed in Epstein's black book,[],0,0,0,True,American
354,Robert Trump,business,Businessman listed in Epstein's black book; deceased,[],0,0,0,True,American
355,Adam Shand Kydd,socialite,Socialite listed in Epstein's black book,[],0,0,0,True,British
356,Christopher Mason,other,Journalist listed in Epstein's black book,[],0,0,0,True,British-American
357,Andrew Farkas,business,"Billionaire real estate investor; co-owned USVI marina with Epstein; ~2,000 emails over a decade; prison visitor",['Andrew L. Farkas'],0,0,0,True,American
358,Michael Kennedy,legal,Attorney listed in Epstein's black book,[],0,0,0,True,American
359,Bernard Arnault,business,LVMH chairman listed in Epstein's black book,[],0,0,0,True,French
360,Nicolas Berggruen,business,Investor listed in Epstein's black book,[],0,0,0,True,German-American
361,David Martinez,business,Financier listed in Epstein's black book,[],0,0,0,True,Mexican
362,Carl Icahn,business,Billionaire investor listed in Epstein's black book,[],0,0,0,True,American
363,Stephen Schwarzman,business,Blackstone co-founder listed in Epstein's black book,['Steve Schwarzman'],0,0,0,True,American
364,Ken Griffin,business,Citadel founder listed in Epstein's black book,['Kenneth Cordele Griffin'],0,0,0,True,American
365,Michael Steinhardt,business,Hedge fund manager listed in Epstein's black book,[],0,0,0,True,American
366,Adnan Khashoggi,business,Saudi arms dealer listed in Epstein's black book; deceased,[],0,0,0,True,Saudi
367,Wafic Said,business,Billionaire businessman listed in Epstein's black book,[],0,0,0,True,Syrian-Saudi
368,Prince Bandar bin Sultan,royalty,Former Saudi Ambassador to U.S. listed in Epstein's black book,['Bandar Bush'],0,0,0,True,Saudi
369,Gerald Grosvenor,socialite,6th Duke of Westminster listed in Epstein's black book; deceased,['6th Duke of Westminster'],0,0,0,True,British
370,Charles Spencer,socialite,9th Earl Spencer listed in Epstein's black book,['9th Earl Spencer'],0,0,0,True,British
371,Guy Dellal,business,Property developer listed in Epstein's black book,[],0,0,0,True,British
372,Sophie Dahl,celebrity,Model and author listed in Epstein's black book,[],0,0,0,True,British
373,James Stunt,socialite,Businessman listed in Epstein's black book,[],0,0,0,True,British
374,Jacob Rothschild,business,Banker listed in Epstein's black book; deceased,['4th Baron Rothschild'],0,0,0,True,British
375,Charles Delevingne,socialite,Property developer listed in Epstein's black book,[],0,0,0,True,British
376,Lady Victoria Hervey,socialite,British socialite who attended Epstein events,[],0,0,0,True,British
377,Lord Campbell-Gray,socialite,British aristocrat listed in Epstein's black book,[],0,0,0,True,British
378,Carla Bruni,celebrity,Model and former First Lady of France listed in Epstein's black book,['Carla Bruni-Sarkozy'],0,0,0,True,Italian-French
379,Richard Plepler,business,Former HBO CEO listed in Epstein's black book,[],0,0,0,True,American
380,Peter Cook,other,Architect listed in Epstein's black book,[],0,0,0,True,American
381,Strauss Zelnick,business,Take-Two Interactive CEO listed in Epstein's black book,[],0,0,0,True,American
382,David Geffen,business,Media mogul listed in Epstein's black book,[],0,0,0,True,American
383,Barry Diller,business,Media executive listed in Epstein's black book,[],0,0,0,True,American
384,Diane von Furstenberg,business,Fashion designer listed in Epstein's black book,['DVF'],0,0,0,True,Belgian-American
385,Peter Thiel,business,Venture capitalist listed in Epstein's black book,[],0,1,0,True,American
386,Jeff Bezos,business,Amazon founder listed in Epstein's black book,['Jeffrey Preston Bezos'],0,0,0,True,American
387,Anna Wintour,other,Vogue editor listed in Epstein's black book,['Dame Anna Wintour'],0,0,0,True,British-American
388,Paul Allen,business,Microsoft co-founder; 3 black book numbers; died 2018; no allegations,[],0,0,0,True,American
389,Carlos Slim,business,Billionaire listed in Epstein's black book,['Carlos Slim Helu'],0,0,0,True,Mexican
390,Aerin Lauder,business,Estee Lauder executive; 3 black book numbers; NYC socialite circle overlap,[],0,0,0,True,American
391,Albert Bryan Jr.,politician,USVI Governor who fired AG after JPMorgan Epstein lawsuit,[],0,0,0,False,American
392,Lana Pozhidaeva,associate,Contact in Epstein's Eastern European network,[],0,0,0,True,Russian
393,Tatiana Sorokina,associate,Contact listed in Epstein's black book,[],0,0,0,True,Russian
394,Olga Kurylenko,celebrity,Actress listed in Epstein's black book,[],0,0,0,True,Ukrainian-French
395,Helena Christensen,celebrity,Supermodel listed in Epstein's black book,[],0,0,0,True,Danish
396,Linda Evangelista,celebrity,Supermodel listed in Epstein's black book,[],0,0,0,True,Canadian
397,Stephanie Seymour,celebrity,Supermodel listed in Epstein's black book,[],0,0,0,True,American
398,John Brockman,other,Literary agent who connected Epstein to scientists,[],0,0,0,True,American
399,Katarina Witt,celebrity,Olympic figure skater listed in Epstein's black book,[],0,0,0,True,German
400,Roberta Flack,celebrity,Grammy-winning singer; 2 black book numbers; no allegations,[],0,0,0,True,American
401,Michael Colhoun,associate,Contact listed in Epstein's black book,[],0,0,0,True,British
402,Juan Pablo Molyneux,other,Interior designer listed in Epstein's black book,[],0,0,0,True,Chilean
403,Si Newhouse,business,Conde Nast chairman listed in Epstein's black book; deceased,['Samuel Irving Newhouse Jr.'],0,0,0,True,American
404,Tom Hicks,business,Billionaire investor listed in Epstein's black book,['Thomas Ollis Hicks'],0,0,0,True,American
405,Edouard Stern,business,French banker listed in Epstein's black book; deceased,[],0,0,0,True,French
406,Peter Nygard,business,Fashion executive listed in Epstein's black book; later convicted,[],0,0,0,True,Canadian
407,Amanda Brudenell-Bruce,socialite,Socialite listed in Epstein's black book,[],0,0,0,True,British
408,Brian Roberts,business,Comcast CEO listed in Epstein's black book,[],0,0,0,True,American
409,Sumner Redstone,business,Media mogul listed in Epstein's black book; deceased,['Sumner Murray Rothstein'],0,0,0,True,American
410,Cosmo Fry,socialite,Socialite listed in Epstein's black book,[],0,0,0,True,British
411,Prince Karim Aga Khan IV,royalty,Spiritual leader listed in Epstein's black book,['Aga Khan IV'],0,0,0,True,British-Portuguese
412,Larry Ellison,business,Oracle co-founder listed in Epstein's black book,['Lawrence Joseph Ellison'],0,0,0,True,American
413,Domenico Dolce,business,Fashion designer listed in Epstein's black book,[],0,0,0,True,Italian
414,Valentino Garavani,business,Fashion designer listed in Epstein's black book,['Valentino'],0,0,0,True,Italian
415,Donatella Versace,business,Fashion designer listed in Epstein's black book,[],0,0,0,True,Italian
416,Elizabeth Kofman,other,Epstein victim and public advocate,[],0,0,0,False,American
417,Rina Oh,other,Former model who publicly accused Epstein of assault,[],0,0,0,False,American
418,Kate,other,Maxwell trial witness (pseudonym); abused from age 17,['Maxwell Trial Pseudonym'],0,0,0,False,British
419,Jane,other,Maxwell trial witness (pseudonym); abused from age 14,['Maxwell Trial Pseudonym'],0,0,0,False,American
420,Miles Alexander Tooby,associate,Property manager at Epstein's USVI island,[],0,0,0,False,American
421,Karin Gustafson,associate,Modeling industry contact listed in Epstein's black book,[],0,0,0,True,Swedish
422,Yana Evans,associate,Model scout at Epstein-funded MC2 agency,[],0,0,0,False,American
423,Tony Bennett,celebrity,Singer listed in Epstein's black book; deceased,['Anthony Dominick Benedetto'],0,0,0,True,American
424,Sting,celebrity,British musician (The Police); 3 black book numbers including wife and estate,['Gordon Matthew Thomas Sumner'],0,0,0,True,British
425,Jools Holland,celebrity,Musician listed in Epstein's black book,['Julian Miles Holland'],0,0,0,True,British
426,Helena Bonham Carter,celebrity,Actress listed in Epstein's black book,[],0,0,0,True,British
427,Oscar de la Renta,business,Fashion designer listed in Epstein's black book; deceased,[],0,0,0,True,Dominican-American
428,Iman,celebrity,Supermodel listed in Epstein's black book,['Iman Mohamed Abdulmajid'],0,0,0,True,Somali-American
429,Cosima von Bulow,socialite,Socialite listed in Epstein's black book,['Cosima Pavoncelli'],0,0,0,True,American
430,David Pottruck,business,Former Charles Schwab CEO listed in Epstein's black book,[],0,0,0,True,American
431,Stephen Sills,other,Interior designer listed in Epstein's black book,[],0,0,0,True,American
432,Mark Fisher,other,Architect listed in Epstein's black book; deceased,[],0,0,0,True,British
433,Lenny Kravitz,celebrity,Musician listed in Epstein's black book,['Leonard Albert Kravitz'],0,0,0,True,American
434,Bono,celebrity,Musician listed in Epstein's black book,['Paul David Hewson'],0,0,0,True,Irish
435,Tim Summers,associate,Contact listed in Epstein's black book,[],0,0,0,True,American
436,Francois Pinault,business,Kering CEO listed in Epstein's black book,['Francois-Henri Pinault'],0,0,0,True,French
437,Bernie Ecclestone,business,Former Formula One chief listed in Epstein's black book,['Bernard Charles Ecclestone'],0,0,0,True,British
438,Michael Fifer,associate,Contact listed in Epstein's black book,[],0,0,0,True,American
439,Peter Gabriel,celebrity,Musician listed in Epstein's black book,[],0,0,0,True,British
440,Alberto Mugrabi,business,Art collector listed in Epstein's black book,[],0,0,0,True,American
441,Michael Dell,business,Dell Technologies founder listed in Epstein's black book,[],0,0,0,True,American
442,Alfred Taubman,business,Real estate developer listed in Epstein's black book; deceased,[],0,0,0,True,American
443,Eli Broad,business,Billionaire philanthropist listed in Epstein's black book; deceased,[],0,0,0,True,American
444,Andrew Luster,associate,Max Factor heir listed in Epstein's black book; separately convicted,[],0,0,0,True,American
445,Nicholas Gruenberg,business,Business contact listed in Epstein's black book,[],0,0,0,True,American
446,David Lal,associate,Contact listed in Epstein's black book,[],0,0,0,True,American
447,Jeffrey Fuller,associate,MC2 business associate connected to Epstein funding,[],0,0,0,False,American
448,Linda Purl,celebrity,Actress listed in Epstein's black book,[],0,0,0,True,American
449,Christie Brinkley,celebrity,Supermodel listed in Epstein's black book,[],0,0,0,True,American
450,Mohamed Hadid,business,Real estate developer listed in Epstein's black book,[],0,0,0,True,Palestinian-American
451,Robert De Niro,celebrity,Actor listed in Epstein's black book,[],0,0,0,True,American
452,Jimmy Buffett,celebrity,Singer-songwriter listed in Epstein's black book; deceased,[],0,0,0,True,American
453,Griffin Dunne,celebrity,Actor listed in Epstein's black book,[],0,0,0,True,American
454,Ben Stiller,celebrity,Actor/filmmaker; 2 black book numbers; no allegations,['Benjamin Edward Meara Stiller'],0,0,0,True,American
455,Jeff Koons,other,Artist listed in Epstein's black book,[],0,0,0,True,American
456,Julian Schnabel,other,Artist and filmmaker listed in Epstein's black book,[],0,0,0,True,American
457,Rande Gerber,business,Entrepreneur listed in Epstein's black book,[],0,0,0,True,American
458,Cindy Crawford,celebrity,Supermodel listed in Epstein's black book,['Cynthia Ann Crawford'],0,0,0,True,American
459,Richard Parsons,business,Former Citigroup chairman listed in Epstein's black book,[],0,0,0,True,American
460,Ralph Lauren,business,Fashion designer listed in Epstein's black book,['Ralph Lifshitz'],0,0,0,True,American
461,Steve Wynn,business,Casino mogul listed in Epstein's black book,['Stephen Alan Wynn'],0,0,0,True,American
462,David Bowie,celebrity,Musician listed in Epstein's black book; deceased,['David Robert Jones'],0,0,0,True,British
463,Karen Duffy,celebrity,Actress listed in Epstein's black book,[],0,0,0,True,American
464,Maria Bartiromo,other,Financial journalist listed in Epstein's black book,[],0,0,0,True,American
465,Andrew Stein,politician,Former NYC Council President listed in Epstein's black book,['Andrew Stein (NYC)'],0,0,0,True,American
466,Lamine N'DiayeLee Plourde,associate,"Sender of the email, likely a mental health professional",[],0,0,0,False,
467,"Ormond, Ray",associate,Recipient of the email,[],0,0,0,False,
468,Hugh J. Hurwitz,associate,"Recipient of the email, potentially involved in oversight or management of the Federal Bureau of Prisons",[],0,0,0,False,
469,J. Ray Ormond,associate,Regional Director Northeast Region,[],0,0,0,False,
470,Lara Elizabeth Pomerantz,associate,Assistant United States Attorney,[],0,0,0,False,
471,Lee Plourde,associate,BOP official being questioned by a journalist,[],0,0,0,False,
472,ANDREW ROHRBACH,associate,Assistant United States Attorney,[],0,1,0,False,
473,Charisma Edge Lamine,associate,Subject of discussion or investigation,[],0,0,0,False,
474,James Petrucci,associate,Recipient of the email,[],0,1,0,False,
475,Catherine Morgan Conrad,associate,Person who authored a note that became Court Exhibit 3,[],0,0,0,False,
476,Ms. Conrad,associate,Witness/Juror being questioned,[],0,2,0,False,
477,MS. BRUNE,associate,witness being deposed,[],0,9,0,False,
478,MR. SHIECHTMAN,associate,attorney,[],0,0,0,False,
479,"Jeffrey, J.",associate,"person whose relationship with the speaker is being kept secret, and someone who needs help with work",[],0,0,0,False,
480,Juror Number 50,associate,juror who gave press interviews after the verdict,[],0,2,0,False,
481,Ms. Trizaskoma,associate,team member involved in discussions about the juror,[],0,0,0,False,
482,Unknown,associate,The names of individuals are not specified in the given snippet,[],0,0,0,False,
483,ALEXANDER ROSSMILLER,associate,Assistant US Attorney,[],0,0,0,False,
484,Judge Pauley,associate,The judge presiding over the trial,[],0,1,0,False,
485,Will,associate,Someone credited by the author for the use of 'BOH!',[],0,0,0,False,
486,[redacted],associate,Wall Street Journal reporter investigating Jeffrey Epstein's death,[],0,0,0,False,
487,VI THOMAS,associate,Possibly the officer or agent who handled the query,[],0,0,0,False,
488,Susan Elizabeth Brune,associate,counsel for David Farse and conversed with witness about Juror No. 1,[],0,1,0,False,
489,N'Diaye Skipper-Scott,associate,Warden of the Metropolitan Correctional Center,[],0,0,0,False,
490,Ms. Jane,associate,alleged victim in the case,[],0,0,0,False,
491,Michael Carvajal,associate,Recipient of the email,[],0,0,0,False,
492,MR. GAIR,associate,Attorney/Prosecutor,[],0,0,0,False,
493,AJN,associate,Judge or presiding judicial officer in case S2 20 Cr. 330,[],0,0,0,False,
494,Sonya Thompson,associate,Recipient of the email chain and potentially responsible for handling media attention,[],0,0,0,False,
495,G.Tali Colon Meade,associate,Person making or receiving calls/interactions,[],0,0,0,False,
496,A. Marie Villapania,associate,Assistant U.S. Attorney,[],0,0,0,False,
497,Day Watch Operations Lieutenant,associate,Lieutenant with oversight of SHU operations,[],0,0,0,False,
498,MORNING WATCH OPERATIONS LIEUTENANT,associate,"Supervisory officer on duty during the night of August 9-10, 2019",[],0,0,0,False,
499,Lanna Belholovick,associate,"co-counsel or associated attorney, cc'd on the letter",[],0,0,0,False,
500,Lilly Ann Sansbeez,associate,Attorney for Jeffrey Epstein,[],0,0,0,False,
501,MORNING WATCH LIEUTENANT CAPTAIN,associate,Reviewing officer,[],0,0,0,False,
502,William JULIÉ,associate,French lawyer providing expert opinion on extradition law,[],0,0,0,False,
503,Tony,associate,The person who made the phone call,[],0,0,0,False,
504,Paul A. Engel Mayer,associate,United States District Judge,[],0,0,0,False,
505,[redacted] MD,associate,Medical provider examining and treating Jeffrey Epstein,[],0,0,0,False,
506,Beef Knuckles,associate,Friend or acquaintance of the profile owner,[],0,0,0,False,
507,Marti Licom-Vitale,associate,Recipient,[],0,0,0,False,
508,None explicitly mentioned,associate,N/A,[],0,0,0,False,
509,Mr. Parse,associate,individual involved in tax transactions,[],0,1,0,False,
510,Ms.Villaflana,associate,Prosecutor in the USA v. Maxwell case,[],0,0,0,False,
511,NYM,associate,Prison staff or identifier for the facility/staff member making log entries,[],0,0,0,False,
512,Michael,associate,"Person taking or signing messages, potentially involved in social arrangements",[],0,0,0,False,
513,"Inmate Reyes, Efrain",associate,Epstein's cellmate,[],0,0,0,False,
514,Chief Psychologist,associate,Psychologist at MCC New York who evaluated Epstein,[],0,0,0,False,
515,Schulte,associate,defendant,[],0,0,0,False,
516,Hugh,associate,sender of the document/email,[],0,0,0,False,
517,EVENING WATCH OPERATIONS LIEUTENANT,associate,Supervisory role reviewing checks,[],0,0,0,False,
518,Jack A. Goldberger,associate,recipient of the letter and attorney for Jane Doe,[],0,1,0,False,
519,Ms. Sophia Papapetru,associate,"Staff Attorney at MDC Brooklyn, Federal Bureau of Prisons",[],0,0,0,False,
520,"Jordana (""Jordy"") H. Feldman",associate,Independent administrator of the Epstein Victims' Compensation Program and proposed movant,[],0,0,0,False,
521,Eric,associate,"Mendilton's brother, who participated in social activities",[],0,0,0,False,
522,Unknown/Not specified,associate,The individuals involved are not specified in the provided snippet,[],0,0,0,False,
523,Jane Does,associate,Victim who filed an emergency petition alleging CVRA violations,[],0,1,0,False,
524,Mr. Schoeman,associate,witness being deposed,[],0,1,0,False,
525,CAPTAIN,associate,"Institution head, claimed not to have known about DVR issue until after Epstein's death",[],0,0,0,False,
526,Operations Lieutenant,associate,Receives notifications about inmates on Suicide Watch,[],0,0,0,False,
527,Leah Jean,associate,Myspace user conversing with Cledus McTavern,[],0,2,0,False,
528,preston77,associate,MySpace user who commented on Leah Jean's profile,[],0,0,0,False,
529,Colleen McMahon,associate,United States District Judge,[],0,3,0,False,
530,Dr. Lisa M. Rocchio,associate,Proposed expert witness for the prosecution,[],0,1,0,False,
531,"[b(6), b(7)(C)]",associate,Senior Editor and writer at The Daily Beast,[],0,0,0,False,
532,Lee,associate,"Recipient of the email, likely a colleague or supervisor",[],0,0,0,False,
533,Michael Greco,associate,U.S. Marshal,[],0,0,0,False,
534,PIMP JUICE,associate,Myspace profile owner,[],0,0,0,False,
535,Mr. Pagliucca,associate,Attorney representing G Maxwell,[],0,0,0,False,
536,Mr. Jack Goldberger,associate,Epstein's defense attorney,[],0,0,0,False,
537,Juror number one,associate,subject of discussion regarding identity and background,[],0,0,0,False,
538,"Edelstein, R. S.",associate,Witness being deposed,[],0,0,0,False,
539,CEOLILIA STEEN,associate,Sender of packages to various recipients,[],0,0,0,False,
540,Ms. Davis,associate,Prosecutor arguing against defendant's claim,[],0,2,0,False,
541,Unknown/Redacted,associate,Individual associated with the admission information,[],0,0,0,False,
542,Cecilia,associate,Caller who left a message,[],0,0,0,False,
543,Andrew FLINKELMAN,associate,Liaison Magistrate at the Embassy of the United States of America in Paris,[],0,0,0,False,
544,Judge Netman,associate,District Court Judge,[],0,0,0,False,
545,Ms. Sterntheim,associate,Witness who testified,[],0,0,0,False,
546,Larry Morrisson,associate,Sender of a package to Jeffrey Epstein,[],0,0,0,False,
547,Dr. Elizabeth F. Loftus,associate,Defense expert witness,[],0,0,0,False,
548,JONATHAN,associate,Person involved in flight training or checkout,[],0,0,0,False,
549,(b) (7) (E),associate,Referring Officer and inspecting officer (identities redacted),[],0,0,0,False,
550,Mike,associate,Myspace user/profile owner,[],0,0,0,False,
551,Ugly Ken Hart,associate,"The person managing or commenting on the Myspace page, likely a member of the band The UglyHarts",[],0,3,0,False,
552,Ken Hart,associate,sender of the message,[],0,1,0,False,
553,*D - CBP Officer,associate,The CBP officer who referred Epstein for inspection,[],0,0,0,False,
554,Kelly Bovino Umekubo,associate,Witness who failed to comply with subpoena,[],0,1,0,False,
